能力编号,能力名称,所属能力领域,是否核心能力,L1 要求描述,L2 要求描述,L3 要求描述,全行业被要求岗位数
ABL-01,全国旅游资源与人文景观知识,资源与产品,是,能够在给定资料支持下，说出所带线路涉及的主要景点名称、所属资源类别与一句话特征,能够独立说明典型景观的形制特征与文化成因，在讲解中准确使用专业术语且无史实错误,能够在跨区域线路中建立资源之间的关联叙事，并针对同类景观作出比较与价值判断,7
ABL-02,地方历史文化与非遗知识,资源与产品,否,能够在提示下列举执业属地的三项以上代表性非遗项目及其所属类别,能够独立讲清属地一条历史脉络的关键节点，并将非遗项目嵌入讲解词形成完整段落,能够针对不同客源背景重构属地文化叙事，并识别与纠正流传的民间讹传,6
ABL-03,导游讲解词编创,讲解与表达,否,能够按照给定模板，为单一景点编写含开头、主体、结尾的 800 字讲解词，史实来源可追溯,能够独立选取主题立意，为一条线路编写详略得当的讲解词，并根据行程时长完成篇幅裁剪,能够针对不同客源与场景重构讲解文本，并建立可复用的讲解词素材库与修订机制,3
ABL-04,现场讲解与节奏控制,讲解与表达,否,能够在指导下完成定点讲解，站位不遮挡展品，音量覆盖 10 人以内团队，讲解时长偏差不超过 2 分钟,能够独立完成整条线路的行进式讲解，按预定时间节点到达各讲解点，并在游客注意力分散时主动调整,能够在天气突变、客流超预期等非常规情境下重排讲解顺序，保证核心内容不缺失并指导新导游同步调整,4
ABL-05,分众化讲解适配,讲解与表达,否,能够在带团前依据名单识别团队的年龄结构与出行目的，并选用对应的既有讲解版本,能够在讲解过程中依据游客反应即时替换术语与举例，使专业内容对非专业听众可理解,能够为同一景点建立多套讲解版本与切换判据，并将适配经验沉淀为可培训的规则,4
ABL-06,团队组织与集合调度,行程组织与调度,否,能够在带团教师指导下完成集合点交代与人数清点，每次清点用时不超过 3 分钟且结果准确,能够独立完成整团全天的集合调度，自由活动前完成风险交代，全天无脱队且各节点不误点,能够在多车分组、景区限流、成员走失等复杂情境下重组调度方案，并指导同行人员分工执行,5
ABL-07,客诉情绪安抚与共情表达,服务与沟通,是,能够在指导下接待常规投诉，全程不打断游客陈述，并按表单记录时间、地点、事由、诉求四项要素,能够独立接待情绪激动的投诉游客，在 5 分钟内完成场景隔离与情绪安抚，并明确告知处理时限,能够处置群体性或涉及媒体的复杂投诉，控制事态不扩大，并将处置经验转化为团队话术模板,6
ABL-08,补偿方案设计与权限判断,服务与沟通,是,能够查明本岗位的补偿授权额度，对超出额度的诉求按流程转交上级并向游客说明转交路径,能够依据合同条款独立判定常见争议的责任归属，并在授权额度内提出至少两种补偿组合供游客选择,能够处置责任交叉或金额较大的争议，权衡法律风险、企业成本与口碑影响给出终局方案并复盘制度漏洞,4
ABL-09,行程变更协调与替代方案生成,行程组织与调度,是,能够识别触发行程变更的常见情形，并在指导下按流程通知相关方与留存书面记录,能够独立生成一套替代行程，保证景点数量与等级不低于原合同约定，并完成游客书面确认,能够在多团并发或旺季资源紧张时统筹调整，兼顾合规、成本与满意度，并沉淀变更预案库,4
ABL-10,旅游安全风险识别与预警,安全与应急,是,能够对照检查清单说出交通、餐饮、住宿、游览四个环节各不少于三项风险源,能够独立完成行前安全告知，针对本次线路的具体风险点作出书面提示并取得游客签字确认,能够对新增线路开展风险评估，识别标准未覆盖的风险并输出分级管控措施,6
ABL-11,突发事件现场处置与上报,安全与应急,是,能够在指导下执行既定应急流程，正确拨打急救与报警电话并说清位置、人数、伤情三项要素,能够独立处置常见突发事件，在事发 10 分钟内完成现场控制、初步处置与首次上报并形成记录,能够统筹处置涉及多方的重大突发事件，协调医疗、警方、景区与企业并承担现场对外口径管理,5
ABL-12,现场急救基本操作,安全与应急,否,能够在指导下完成伤口清洁与加压包扎，判断意识与呼吸并正确摆放复苏体位,能够独立完成成人心肺复苏 5 个循环，按压深度与频率符合指南要求，并正确使用 AED,能够在多人受伤或高原、高温等特殊环境下完成伤情分检与救护组织，并指导同行人员配合,3
ABL-13,旅游法与合同条款应用,政策法规与合规,是,能够指出旅游合同必备条款的构成，并在给定合同文本中定位行程、费用、违约三部分内容,能够独立判断常见业务行为是否合规，并援引具体条款说明依据，判断结论与法规一致,能够审查合同文本与业务流程的法律风险，提出修改建议并向团队解释法规更新的影响,5
ABL-14,涉旅投诉受理规则与时限认知,政策法规与合规,是,能够说出旅游投诉的受理机构与主要投诉渠道，并向游客准确转述投诉提出的时限要求,能够独立判断某一投诉事项的管辖归属，并为游客说明所需材料与预期处理周期,能够代表企业配合投诉调查，组织证据材料并撰写答复意见，且答复内容经得起复核,4
ABL-15,旅游产品线路设计与成本核算,资源与产品,否,能够按给定模板补全既有线路的日程安排与成本项，各成本项无遗漏且单价来源可查,能够独立设计 3–5 日线路并完成报价，行程时间可行、毛利率达到企业设定区间,能够针对细分客群开发差异化产品，进行竞品比价与盈亏平衡分析，并说明定价策略,3
ABL-16,地接资源询价与合同签订,资源与产品,否,能够按清单向三家以上供应商发出询价并整理成可比对的比价表，信息项无缺漏,能够独立完成常规资源的谈判与合同签订，条款中明确违约与退改责任且经复核无遗漏,能够建立供应商分级评价机制，在旺季资源紧张时锁定资源并控制采购成本,3
ABL-17,计调操作系统与订单处理,数字工具与新媒体,否,能够在系统中完成建团与游客信息录入，信息与身份证件一致，录入差错率为零,能够独立完成从开团到结算的全流程操作，确认件按时发出，团款收付与系统台账一致,能够诊断系统操作中的流程瓶颈，提出配置或流程优化建议并培训同事使用,2
ABL-18,讲解类短视频策划与制作,数字工具与新媒体,否,能够按模板将一段讲解词改写为 60 秒短视频脚本，含镜头、口播、字幕三栏且时长可控,能够独立完成拍摄与剪辑并产出成片，画面稳定、收音清晰、字幕与口播同步无错别字,能够围绕景区主题策划系列内容，依据数据反馈迭代选题，并说明内容与引流目标的关系,2
ABL-19,服务礼仪与职业形象呈现,服务与沟通,否,能够按规范着装并正确佩戴导游证或工牌，使用规范问候语，全程无明显失礼行为,能够在长时间高强度服务中保持仪态稳定，手势指引规范，面对游客质疑时用语始终得体,能够依据场合调整礼仪表现，示范并纠正同行人员的失礼行为，形成团队形象标准,7
ABL-20,文化自信与价值引导意识,讲解与表达,是,能够在讲解中使用符合史实与主流表述的说法，不传播未经证实的野史与低俗附会,能够独立完成一段以文化价值阐释为主线的讲解，把景观特征与其承载的文化意涵讲清楚,能够面向境外或多元背景游客开展跨文化沟通，在差异语境下清晰表达而不失分寸,5
ABL-21,研学课程方案设计,研学与教育设计,是,能够按给定模板补全一次研学活动的日程与任务单，任务与参观点一一对应,能够独立设计 2 天期的研学课程方案，学习目标与学段课标对应，含前中后三段学习任务,能够围绕一个主题开发系列研学课程，进行实施后复盘并依据学生成果证据迭代方案,2
ABL-22,学段学情与学习目标适配,研学与教育设计,是,能够说出三个学段在注意时长、活动强度、任务复杂度上的主要差异,能够为指定学段设定可达成的学习目标，目标用行为动词表述且能对应到课标条目,能够为混龄或跨学段团队设计分层任务，使同一活动对不同学段学生都有恰当挑战度,2
ABL-23,团队破冰与活动带领,服务与沟通,否,能够按既定流程完成破冰与分组，10 分钟内使全员知道自己所在组与组内成员,能够独立带领小组任务，在成员消极或冲突时介入调整，保证各组均产出可展示成果,能够设计活动流程与规则本身，依据现场反馈调整节奏，并带教新指导师完成一次带组,1
ABL-24,客户需求访谈与画像提炼,服务与沟通,否,能够按访谈提纲完成一次需求沟通，采集出行人数、时间、预算区间、出行目的四项基本信息,能够独立完成深度访谈并输出画像，画像中区分出硬约束与偏好，方案设计可直接引用,能够识别客户未明说的隐含期待并在方案中回应，同时管理超出可行范围的预期,2
ABL-25,目的地资源踩线与评估,资源与产品,否,能够按踩线清单完成实地记录，各项目均留有照片与时间戳，交通耗时为实测非估算,能够独立完成一条新线路的踩线并输出评估结论，指出不可用项与替代方案,能够设计踩线方案本身，针对不同产品定位确定考察重点，并建立资源复评机制,2
ABL-26,在线产品内容与详情页运营,数字工具与新媒体,是,能够按平台模板完成产品上架，行程与费用包含项和合同一致，无夸大宣传表述,能够独立优化详情页结构与卖点表述，退改规则表述清晰到可直接作为纠纷判定依据,能够依据浏览与转化数据判断详情页问题所在并提出改版方案，说明改动与目标的关系,2
ABL-27,用户评价管理与口碑修复,数字工具与新媒体,否,能够按时限完成评价回复，回复中不与客人争辩，负面评价 24 小时内转出至责任方,能够独立处置负面评价，完成事实核查、线下补救与二次沟通，并留存处理闭环记录,能够从评价数据中识别反复出现的服务问题，推动上游整改并验证整改后的评价变化,1
ABL-28,跨文化沟通与外语服务,讲解与表达,否,能够用外语完成接待、问路、点餐等常规场景对话，关键信息传达无误,能够用外语完成景点讲解，专有名词表述规范，能回应游客的即席提问,能够在文化差异引发的误解情境中调整表达，用对方可理解的参照系解释中国文化概念,3
